epoch,box_loss,cls_loss,l1_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image
201,1.34624,1.3077,1.07391,3.59522,3.79371,0.331773,0.00141603,0.612102,0.940764,0.883335,0.474797,0.515651,0.948569
202,1.35693,1.29828,1.07798,3.60486,3.79623,0.329431,0.00139469,0.614215,0.941928,0.884638,0.475364,0.516291,0.94809
203,1.35361,1.30477,1.08651,3.62303,3.80412,0.32709,0.00137348,0.614137,0.940359,0.883685,0.474986,0.515856,0.949345
204,1.35414,1.29061,1.05994,3.58676,3.7614,0.324749,0.00135241,0.614874,0.940592,0.883853,0.47462,0.515543,0.940827
205,1.34659,1.29697,1.06759,3.58874,3.76939,0.322408,0.00133148,0.616235,0.941995,0.885043,0.474609,0.515653,0.933202
206,1.35042,1.29419,1.0712,3.59289,3.77369,0.320067,0.0013107,0.615842,0.94164,0.884645,0.474566,0.515574,0.9585
207,1.3505,1.29335,1.06809,3.59041,3.76853,0.317726,0.00129005,0.616606,0.941147,0.885065,0.475047,0.516049,0.951912
208,1.34995,1.2889,1.06336,3.57719,3.75979,0.315385,0.00126956,0.616707,0.941022,0.884614,0.475107,0.516058,0.963703
209,1.3497,1.30036,1.07643,3.60308,3.78271,0.313043,0.00124921,0.617974,0.941524,0.885046,0.47524,0.51622,0.966626
210,1.34292,1.29353,1.0504,3.56161,3.74331,0.310702,0.00122901,0.618496,0.941821,0.88518,0.47547,0.516441,0.948476
211,1.34852,1.28458,1.05889,3.57257,3.74523,0.308361,0.00120897,0.619664,0.941524,0.885756,0.475919,0.516902,0.952976
212,1.34244,1.28401,1.04575,3.54939,3.72636,0.30602,0.00118908,0.620651,0.941739,0.886246,0.476289,0.517285,0.955154
213,1.34306,1.28621,1.04598,3.55315,3.7285,0.303679,0.00116935,0.622518,0.941739,0.886845,0.476371,0.517418,0.944853
214,1.35208,1.28571,1.04311,3.556,3.73477,0.301338,0.00114977,0.622985,0.941524,0.887182,0.476131,0.517236,0.957492
215,1.34224,1.28776,1.05713,3.56223,3.7404,0.298997,0.00113036,0.623566,0.941524,0.887355,0.476423,0.517516,0.940459
216,1.34837,1.27733,1.06432,3.56133,3.74431,0.296656,0.00111112,0.623691,0.94207,0.886829,0.476479,0.517514,0.905779
217,1.35005,1.27556,1.05475,3.55885,3.73102,0.294314,0.00109204,0.624725,0.942342,0.887461,0.476372,0.517481,0.94326
218,1.33749,1.27202,1.03237,3.52298,3.69092,0.291973,0.00107313,0.626923,0.942242,0.887497,0.47654,0.517636,0.960622
219,1.33529,1.27393,1.04689,3.54038,3.70329,0.289632,0.00105438,0.628166,0.942027,0.887581,0.477035,0.51809,0.93894
220,1.34161,1.28878,1.03634,3.54071,3.71752,0.287291,0.00103581,0.627814,0.942033,0.887305,0.477442,0.518428,0.951876
221,1.33117,1.27613,1.03713,3.51964,3.69416,0.28495,0.00101742,0.630524,0.942027,0.887477,0.477731,0.518706,0.943442
222,1.34232,1.29998,1.04726,3.55872,3.74111,0.282609,0.000999201,0.62761,0.942027,0.886993,0.477732,0.518658,0.947364
223,1.33558,1.27963,1.03904,3.53231,3.70175,0.280268,0.00098116,0.6296,0.942027,0.886815,0.477528,0.518457,0.9471
224,1.34016,1.26381,1.02794,3.52233,3.67409,0.277926,0.0009633,0.631831,0.941812,0.886986,0.477489,0.518439,0.955259
225,1.34075,1.27268,1.01807,3.51044,3.67755,0.275585,0.000945621,0.631297,0.940507,0.886855,0.477464,0.518403,0.947693
226,1.33687,1.26065,1.0229,3.49275,3.66841,0.273244,0.000928127,0.630282,0.940235,0.886598,0.477154,0.518098,0.942332
227,1.33171,1.27218,1.02711,3.50892,3.67636,0.270903,0.000910819,0.631027,0.939789,0.886917,0.477267,0.518232,0.955831
228,1.34127,1.27322,1.02995,3.51675,3.69133,0.268562,0.0008937,0.631761,0.940004,0.8877,0.477649,0.518654,0.952018
229,1.33874,1.27334,1.01388,3.50187,3.67098,0.266221,0.000876769,0.6334,0.939574,0.887366,0.477899,0.518846,0.940046
230,1.32942,1.26614,1.03291,3.50694,3.67204,0.26388,0.000860031,0.63428,0.939789,0.887509,0.477973,0.518927,0.942596
231,1.33511,1.25583,1.01958,3.49744,3.65056,0.261538,0.000843486,0.634824,0.939574,0.888042,0.478458,0.519416,0.945142
232,1.32183,1.24386,1.00429,3.44707,3.61298,0.259197,0.000827137,0.634652,0.938169,0.887993,0.478252,0.519226,0.946748
233,1.32888,1.25394,1.02041,3.4906,3.64215,0.256856,0.000810984,0.635924,0.938599,0.887649,0.478406,0.519331,0.955528
234,1.3376,1.26176,1.02238,3.50235,3.66251,0.254515,0.000795031,0.636564,0.938691,0.887509,0.478364,0.519279,0.952676
235,1.34126,1.25519,1.02054,3.49787,3.65714,0.252174,0.000779278,0.637071,0.938586,0.887626,0.478313,0.519244,0.96055
236,1.33456,1.26069,1.0183,3.49042,3.65456,0.249833,0.000763728,0.637385,0.938866,0.887239,0.478219,0.519121,0.945384
237,1.32664,1.24223,1.0117,3.46745,3.61778,0.247492,0.000748382,0.637758,0.938656,0.886768,0.478303,0.51915,0.957917
238,1.33152,1.26252,1.01721,3.49133,3.65019,0.245151,0.000733241,0.638705,0.938916,0.886774,0.478565,0.519386,0.957222
239,1.32865,1.25557,1.02025,3.49328,3.64014,0.242809,0.000718308,0.639571,0.939431,0.887185,0.478891,0.51972,0.957981
240,1.32766,1.24591,1.01847,3.48299,3.62656,0.240468,0.000703585,0.639966,0.939422,0.887993,0.479287,0.520157,0.929532
241,1.32414,1.23701,1.01641,3.46228,3.61359,0.238127,0.000689071,0.639985,0.939374,0.888033,0.479601,0.520444,0.94177
242,1.3228,1.24436,1.01705,3.47413,3.61819,0.235786,0.000674771,0.638251,0.938514,0.888317,0.479284,0.520187,0.953989
243,1.33135,1.25034,1.01404,3.48183,3.63042,0.233445,0.000660684,0.641425,0.938342,0.888374,0.479466,0.520357,0.941207
244,1.33486,1.26161,1.00534,3.47599,3.63962,0.231104,0.000646812,0.640848,0.938944,0.88825,0.479054,0.519974,0.94238
245,1.32517,1.25233,1.01603,3.47572,3.62848,0.228763,0.000633157,0.641656,0.938979,0.888542,0.479377,0.520294,0.944647
246,1.32302,1.24532,1.01129,3.46153,3.6142,0.226421,0.000619721,0.641843,0.938931,0.888553,0.479251,0.520181,0.880602
247,1.32227,1.23421,1.00036,3.4366,3.59156,0.22408,0.000606505,0.642181,0.939059,0.888889,0.480043,0.520928,0.940725
248,1.31619,1.23938,1.00392,3.44278,3.59274,0.221739,0.00059351,0.642031,0.938904,0.888597,0.480346,0.521171,0.936814
249,1.31883,1.23271,1.00463,3.44189,3.58829,0.219398,0.000580738,0.642251,0.939059,0.888426,0.480529,0.521319,0.944067
250,1.3265,1.24782,1.01184,3.46549,3.61961,0.217057,0.00056819,0.644129,0.939338,0.88876,0.480463,0.521293,0.942356
251,1.32193,1.24667,1.003,3.44413,3.60645,0.214716,0.000555867,0.643096,0.939503,0.888998,0.480119,0.521007,0.953353
252,1.31901,1.24912,1.00749,3.45061,3.60932,0.212375,0.000543772,0.644684,0.93939,0.889158,0.480046,0.520957,0.952176
253,1.31416,1.23167,1.00134,3.42968,3.57841,0.210033,0.000531904,0.645582,0.939605,0.889357,0.480115,0.52104,0.944715
254,1.32003,1.23079,1.01003,3.44707,3.59068,0.207692,0.000520266,0.646262,0.94048,0.889841,0.480493,0.521428,0.946494
255,1.3176,1.22709,0.996729,3.43182,3.56974,0.205351,0.00050886,0.646797,0.940488,0.890287,0.481042,0.521966,0.947609
256,1.31937,1.22775,0.990054,3.42218,3.56647,0.20301,0.000497685,0.648579,0.940768,0.890367,0.480718,0.521683,0.94074
257,1.31696,1.23656,0.990851,3.41643,3.57649,0.200669,0.000486743,0.648993,0.940553,0.890425,0.48098,0.521925,0.951421
258,1.3169,1.22907,0.991695,3.42184,3.56632,0.198328,0.000476036,0.648959,0.94119,0.890733,0.481366,0.522302,0.940627
259,1.31776,1.22867,1.01103,3.44379,3.58517,0.195987,0.000465564,0.648418,0.940338,0.889682,0.480872,0.521753,0.948795
260,1.31965,1.23623,0.986756,3.41766,3.57265,0.193645,0.00045533,0.648682,0.940644,0.88836,0.480269,0.521078,0.961369
261,1.31533,1.22976,0.985748,3.41271,3.55879,0.191304,0.000445333,0.650166,0.940768,0.888337,0.480329,0.52113,0.945792
262,1.31525,1.23285,0.995972,3.41909,3.57319,0.188963,0.000435575,0.650265,0.941076,0.887905,0.48044,0.521187,0.950581
263,1.31989,1.22871,0.985039,3.41076,3.56184,0.186622,0.000426057,0.650667,0.941198,0.888726,0.480814,0.521605,0.940744
264,1.31313,1.22118,0.982002,3.40326,3.54185,0.184281,0.000416781,0.649471,0.940868,0.888373,0.480505,0.521292,0.957092
265,1.3168,1.22715,0.995622,3.42128,3.56588,0.18194,0.000407746,0.649366,0.940868,0.888224,0.480436,0.521215,0.940002
266,1.30906,1.22519,0.996,3.4151,3.55545,0.179599,0.000398955,0.649645,0.940868,0.888367,0.481029,0.521763,0.946227
267,1.31161,1.23217,0.989692,3.42125,3.55765,0.177258,0.000390408,0.649269,0.940899,0.888851,0.48167,0.522388,0.948401
268,1.30393,1.21767,0.989877,3.4031,3.53445,0.174916,0.000382106,0.651526,0.940438,0.889405,0.482042,0.522778,0.950861
269,1.3199,1.23429,0.995519,3.42705,3.57529,0.172575,0.00037405,0.651177,0.941354,0.890979,0.482093,0.522982,0.948305
270,1.31118,1.22002,1.00097,3.41527,3.55615,0.170234,0.000366241,0.652739,0.941486,0.891281,0.482312,0.523209,0.971155
271,1.31355,1.2241,0.988224,3.40593,3.55007,0.167893,0.000358679,0.651313,0.941486,0.891599,0.482189,0.52313,0.943412
272,1.31292,1.2152,0.990541,3.40649,3.54091,0.165552,0.000351366,0.651993,0.941406,0.892186,0.482397,0.523376,0.976566
273,1.31058,1.20816,0.987687,3.39969,3.52724,0.163211,0.000344302,0.650308,0.940944,0.892494,0.482036,0.523082,0.961976
274,1.31714,1.22358,0.990804,3.4158,3.55372,0.16087,0.000337489,0.652635,0.941255,0.892612,0.481922,0.522991,0.943526
275,1.30592,1.19919,0.975371,3.36211,3.50277,0.158528,0.000330926,0.653655,0.941585,0.893006,0.482141,0.523227,0.938519
276,1.31458,1.21733,0.981148,3.39621,3.53469,0.156187,0.000324615,0.654759,0.941585,0.892553,0.482374,0.523392,0.942611
277,1.31628,1.21812,0.99125,3.40877,3.5469,0.153846,0.000318556,0.655524,0.941383,0.893019,0.483024,0.524024,0.956157
278,1.31775,1.21726,0.985574,3.40742,3.5408,0.151505,0.00031275,0.653665,0.940924,0.89271,0.482937,0.523915,0.947498
279,1.30355,1.20469,0.979862,3.38102,3.50687,0.149164,0.000307198,0.655148,0.941255,0.891637,0.482341,0.523271,0.944908
280,1.3058,1.21872,0.976728,3.39204,3.52004,0.146823,0.000301899,0.655733,0.941562,0.892181,0.482343,0.523327,0.954316
281,1.30503,1.21086,0.978341,3.37476,3.5144,0.144482,0.000296856,0.656048,0.942475,0.892203,0.482458,0.523433,0.941131
282,1.31081,1.21306,0.984202,3.39886,3.52617,0.14214,0.000292068,0.655994,0.942475,0.892023,0.482521,0.523471,0.948685
283,1.30965,1.21678,0.986289,3.39548,3.53177,0.139799,0.000287535,0.657666,0.942475,0.89183,0.483125,0.523995,0.95238
284,1.31701,1.23182,0.984112,3.4009,3.55398,0.137458,0.000283259,0.656393,0.941973,0.890971,0.483345,0.524107,0.944298
285,1.30852,1.21563,0.982466,3.38801,3.52515,0.135117,0.00027924,0.656063,0.941973,0.890407,0.482784,0.523546,0.941485
286,1.30236,1.21137,0.981364,3.37727,3.51312,0.132776,0.000275478,0.655697,0.941973,0.890503,0.48237,0.523183,0.941976
287,1.31024,1.2224,0.989042,3.40557,3.5391,0.130435,0.000271974,0.657514,0.941973,0.890494,0.482051,0.522895,0.963526
288,1.30655,1.20757,0.976481,3.36997,3.50832,0.128094,0.000268728,0.657821,0.941973,0.890872,0.481882,0.522781,0.946699
289,1.2967,1.21262,0.986597,3.37854,3.5128,0.125753,0.00026574,0.658549,0.942072,0.891333,0.481999,0.522932,0.939215
290,1.30827,1.2161,0.984641,3.38577,3.52636,0.123411,0.00026301,0.660092,0.942072,0.891675,0.482268,0.523209,0.954012
291,1.30725,1.22347,0.993971,3.40117,3.5417,0.12107,0.00026054,0.660372,0.94312,0.892723,0.482478,0.523503,0.935823
292,1.30868,1.211,0.986231,3.38791,3.52181,0.118729,0.000258329,0.660859,0.943021,0.89296,0.482684,0.523712,0.949916
293,1.30774,1.20722,0.979005,3.37639,3.50946,0.116388,0.000256378,0.659876,0.943021,0.89259,0.482497,0.523507,0.946858
294,1.30848,1.20725,0.970074,3.37081,3.50061,0.114047,0.000254687,0.659964,0.942475,0.892381,0.482321,0.523327,0.94343
295,1.30741,1.21449,0.967117,3.36469,3.50465,0.111706,0.000253255,0.660579,0.942806,0.892963,0.482769,0.523788,0.928427
296,1.31331,1.22107,0.972087,3.39072,3.52068,0.109365,0.000252083,0.66117,0.942622,0.892927,0.483078,0.524063,0.947961
297,1.2915,1.2031,0.986991,3.36932,3.49504,0.107023,0.000251172,0.661847,0.942624,0.892995,0.482877,0.523889,0.946607
298,1.30494,1.20349,0.97563,3.36757,3.49768,0.104682,0.000250521,0.661442,0.94338,0.893704,0.482655,0.52376,0.947368
299,1.31536,1.21378,0.974413,3.38657,3.51689,0.102341,0.00025013,0.661154,0.943351,0.894014,0.482785,0.523907,0.949007
300,1.30728,1.20171,0.984451,3.38625,3.50535,0.1,0.00025,0.660828,0.942633,0.893703,0.482539,0.523655,0.943619
